Group,Version,Kind,Plural,Namespaced,MajorMinorServerVersions
apiextensions.k8s.io,v1,CustomResourceDefinition,customresourcedefinitions,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apiextensions.k8s.io,v1beta1,CustomResourceDefinition,customresourcedefinitions,False,1.16|1.17|1.18|1.19|1.21
apiregistration.k8s.io,v1,APIService,apiservices,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apiregistration.k8s.io,v1beta1,APIService,apiservices,False,1.16|1.17|1.18|1.19|1.21
apps,v1,ControllerRevision,controllerrevisions,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apps,v1,DaemonSet,daemonsets,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apps,v1,Deployment,deployments,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apps,v1,ReplicaSet,replicasets,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
apps,v1,StatefulSet,statefulsets,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authentication.k8s.io,v1,SelfSubjectReview,selfsubjectreviews,False,1.28
authentication.k8s.io,v1,TokenReview,tokenreviews,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authentication.k8s.io,v1beta1,TokenReview,tokenreviews,False,1.16|1.17|1.18|1.19|1.21
authorization.k8s.io,v1,LocalSubjectAccessReview,localsubjectaccessreviews,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authorization.k8s.io,v1,SelfSubjectAccessReview,selfsubjectaccessreviews,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authorization.k8s.io,v1,SelfSubjectRulesReview,selfsubjectrulesreviews,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authorization.k8s.io,v1,SubjectAccessReview,subjectaccessreviews,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
authorization.k8s.io,v1beta1,LocalSubjectAccessReview,localsubjectaccessreviews,True,1.16|1.17|1.18|1.19|1.21
authorization.k8s.io,v1beta1,SelfSubjectAccessReview,selfsubjectaccessreviews,False,1.16|1.17|1.18|1.19|1.21
authorization.k8s.io,v1beta1,SelfSubjectRulesReview,selfsubjectrulesreviews,False,1.16|1.17|1.18|1.19|1.21
authorization.k8s.io,v1beta1,SubjectAccessReview,subjectaccessreviews,False,1.16|1.17|1.18|1.19|1.21
autoscaling,v1,HorizontalPodAutoscaler,horizontalpodautoscalers,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
autoscaling,v2,HorizontalPodAutoscaler,horizontalpodautoscalers,True,1.23|1.24|1.25|1.26|1.27|1.28
autoscaling,v2beta1,HorizontalPodAutoscaler,horizontalpodautoscalers,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
autoscaling,v2beta2,HorizontalPodAutoscaler,horizontalpodautoscalers,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25
batch,v1,CronJob,cronjobs,True,1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
batch,v1,Job,jobs,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
batch,v1beta1,CronJob,cronjobs,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
certificates.k8s.io,v1,CertificateSigningRequest,certificatesigningrequests,False,1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
certificates.k8s.io,v1beta1,CertificateSigningRequest,certificatesigningrequests,False,1.16|1.17|1.18|1.19|1.21
coordination.k8s.io,v1,Lease,leases,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
coordination.k8s.io,v1beta1,Lease,leases,True,1.16|1.17|1.18|1.19|1.21
discovery.k8s.io,v1,EndpointSlice,endpointslices,True,1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
discovery.k8s.io,v1beta1,EndpointSlice,endpointslices,True,1.17|1.18|1.19|1.21|1.22|1.23|1.24
events.k8s.io,v1,Event,events,True,1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
events.k8s.io,v1beta1,Event,events,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
extensions,v1beta1,Ingress,ingresses,True,1.16|1.17|1.18|1.19|1.21
flowcontrol.apiserver.k8s.io,v1beta1,FlowSchema,flowschemas,False,1.21|1.22|1.23|1.24|1.25
flowcontrol.apiserver.k8s.io,v1beta1,PriorityLevelConfiguration,prioritylevelconfigurations,False,1.21|1.22|1.23|1.24|1.25
flowcontrol.apiserver.k8s.io,v1beta2,FlowSchema,flowschemas,False,1.23|1.24|1.25|1.26|1.27|1.28
flowcontrol.apiserver.k8s.io,v1beta2,PriorityLevelConfiguration,prioritylevelconfigurations,False,1.23|1.24|1.25|1.26|1.27|1.28
flowcontrol.apiserver.k8s.io,v1beta3,FlowSchema,flowschemas,False,1.26|1.27|1.28
flowcontrol.apiserver.k8s.io,v1beta3,PriorityLevelConfiguration,prioritylevelconfigurations,False,1.26|1.27|1.28
networking.k8s.io,v1,Ingress,ingresses,True,1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
networking.k8s.io,v1,IngressClass,ingressclasses,False,1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
networking.k8s.io,v1,NetworkPolicy,networkpolicies,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
networking.k8s.io,v1beta1,Ingress,ingresses,True,1.16|1.17|1.18|1.19|1.21
networking.k8s.io,v1beta1,IngressClass,ingressclasses,False,1.18|1.19|1.21
node.k8s.io,v1,RuntimeClass,runtimeclasses,False,1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
node.k8s.io,v1beta1,RuntimeClass,runtimeclasses,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
policy,v1,PodDisruptionBudget,poddisruptionbudgets,True,1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
policy,v1beta1,PodDisruptionBudget,poddisruptionbudgets,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
policy,v1beta1,PodSecurityPolicy,podsecuritypolicies,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24
rbac.authorization.k8s.io,v1,ClusterRole,clusterroles,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
rbac.authorization.k8s.io,v1,ClusterRoleBinding,clusterrolebindings,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
rbac.authorization.k8s.io,v1,Role,roles,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
rbac.authorization.k8s.io,v1,RoleBinding,rolebindings,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
rbac.authorization.k8s.io,v1beta1,ClusterRole,clusterroles,False,1.16|1.17|1.18|1.19|1.21
rbac.authorization.k8s.io,v1beta1,ClusterRoleBinding,clusterrolebindings,False,1.16|1.17|1.18|1.19|1.21
rbac.authorization.k8s.io,v1beta1,Role,roles,True,1.16|1.17|1.18|1.19|1.21
rbac.authorization.k8s.io,v1beta1,RoleBinding,rolebindings,True,1.16|1.17|1.18|1.19|1.21
scheduling.k8s.io,v1,PriorityClass,priorityclasses,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
scheduling.k8s.io,v1beta1,PriorityClass,priorityclasses,False,1.16|1.17|1.18|1.19|1.21
storage.k8s.io,v1,CSIDriver,csidrivers,False,1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
storage.k8s.io,v1,CSINode,csinodes,False,1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
storage.k8s.io,v1,CSIStorageCapacity,csistoragecapacities,True,1.24|1.25|1.26|1.27|1.28
storage.k8s.io,v1,StorageClass,storageclasses,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
storage.k8s.io,v1,VolumeAttachment,volumeattachments,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
storage.k8s.io,v1beta1,CSIDriver,csidrivers,False,1.16|1.17|1.18|1.19|1.21
storage.k8s.io,v1beta1,CSINode,csinodes,False,1.16|1.17|1.18|1.19|1.21
storage.k8s.io,v1beta1,CSIStorageCapacity,csistoragecapacities,True,1.21|1.22|1.23|1.24|1.25|1.26
storage.k8s.io,v1beta1,StorageClass,storageclasses,False,1.16|1.17|1.18|1.19|1.21
storage.k8s.io,v1beta1,VolumeAttachment,volumeattachments,False,1.16|1.17|1.18|1.19|1.21
