Group,Version,Kind,Plural,Namespaced,MajorMinorServerVersions
,v1,Binding,bindings,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,ComponentStatus,componentstatuses,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,ConfigMap,configmaps,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Endpoints,endpoints,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Event,events,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,LimitRange,limitranges,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Namespace,namespaces,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Node,nodes,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,PersistentVolume,persistentvolumes,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,PersistentVolumeClaim,persistentvolumeclaims,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Pod,pods,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,PodTemplate,podtemplates,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,ReplicationController,replicationcontrollers,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,ResourceQuota,resourcequotas,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Secret,secrets,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,Service,services,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
,v1,ServiceAccount,serviceaccounts,True,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
admissionregistration.k8s.io,v1,MutatingWebhookConfiguration,mutatingwebhookconfigurations,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
admissionregistration.k8s.io,v1,ValidatingWebhookConfiguration,validatingwebhookconfigurations,False,1.16|1.17|1.18|1.19|1.21|1.22|1.23|1.24|1.25|1.26|1.27|1.28
admissionregistration.k8s.io,v1beta1,MutatingWebhookConfiguration,mutatingwebhookconfigurations,False,1.16|1.17|1.18|1.19|1.21
admissionregistration.k8s.io,v1beta1,ValidatingWebhookConfiguration,validatingwebhookconfigurations,False,1.16|1.17|1.18|1.19|1.21
